NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations
NCT02269137,Assessment of Severity and Prognosis for Patients With Status Epileptics(SE),https://clinicaltrials.gov/study/NCT02269137,NO,Status Epileptics,,ALL,"CHILD, ADULT, OLDER_ADULT",,"The Department of Neurology, Xijing Hospital, Xi'an, Shaanxi, 710032, China"
NCT02560597,Repetitive Transcranial Magnetic Stimulation (rTMS) for the Treatment of Epilepsy,https://clinicaltrials.gov/study/NCT02560597,NO,Epilepsia Partialis Continua|Status Epilepticus,PROCEDURE: repetitive transcranial magnetic stimulation,ALL,"ADULT, OLDER_ADULT",NA,"University Hospital, Ghent, Ghent, 9000, Belgium"
NCT03154307,Repeated TMS at Low Frequencies to Reduce Seizure Occurrence,https://clinicaltrials.gov/study/NCT03154307,YES,"Epilepsy|Status Epilepticus|Epilepsia Partialis Continua|Epilepsia Partialis Continua, Refractory (Medically)",DEVICE: Low frequency repeated TMS (LF-rTMS),ALL,"ADULT, OLDER_ADULT",NA,"Baptist Hospital of Miami, Miami, Florida, 33176, United States"
NCT02968966,Pathophysiology Based Therapy of Early Onset Epileptic Encephalopathies,https://clinicaltrials.gov/study/NCT02968966,NO,"Seizure, Epileptic",OTHER: Therapy regime,ALL,CHILD,PHASE2,"Universtiy Hospital, Tübingen, 72076, Germany"
NCT05459597,Antiepileptic Drugs in Elderly Patients,https://clinicaltrials.gov/study/NCT05459597,NO,"Seizure, Epileptic",DRUG: antiepileptic drugs,ALL,OLDER_ADULT,,"Wei Zhao, Jinan, Shandong, China"
NCT01116700,Dexmedetomidine in Seizure Patients,https://clinicaltrials.gov/study/NCT01116700,NO,Seizure Disorders,DRUG: Dexmedetomidine,ALL,"ADULT, OLDER_ADULT",PHASE1,"University of California San Francisco, San Francisco, California, 94122, United States"
NCT05431595,Managing Agitated Delirium With Neuroleptics and Anti-Epileptics as a Neuroleptic Sparing Strategy,https://clinicaltrials.gov/study/NCT05431595,NO,Delirium|Epileptics|Neuroleptics,DRUG: Haloperidol|DRUG: Chlorpromazine|DRUG: Valproate|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"MD Anderson Cancer Center, Houston, Texas, 77030, United States"
NCT03860467,Epileptic Seizures in Intensive Care Units,https://clinicaltrials.gov/study/NCT03860467,NO,Epileptic Seizure,OTHER: collection of patient data,ALL,"ADULT, OLDER_ADULT",,"Clinic for Intensive Care Medicine, University Hospital Basel, Basel, 4031, Switzerland"
NCT02229318,A Taste and Acceptance Study of FruitiVits in Children Aged 4-8 Years Following a Ketogenic Diet.,https://clinicaltrials.gov/study/NCT02229318,YES,Seizure Disorders,DIETARY_SUPPLEMENT: FruitiVits,ALL,CHILD,NA,"The Children's Hospital of Philadelphia, Division of Neurology, Philadelphia, Pennsylvania, 19104, United States"
NCT01159431,External Trigeminal Nerve Stimulation for Epilepsy,https://clinicaltrials.gov/study/NCT01159431,YES,Epilepsy|Seizure Disorders,DEVICE: Trigeminal Nerve Stimulation,ALL,"ADULT, OLDER_ADULT",PHASE2,"USC Department of Neurology, Los Angeles, California, 90033, United States|Olive View/UCLA Medical Center, Sylmar, California, 91342, United States"
NCT02304029,Usefulness of Sodium MRI in the Presurgical Assessment of Drug-resistant Partial Epilepsy,https://clinicaltrials.gov/study/NCT02304029,NO,Epileptic Seizures,DEVICE: MRI,ALL,"ADULT, OLDER_ADULT",NA,"Assistance Publique - Hopitaux de Marseille, Marseille, 13005, France|CHU Montpellier, Montpellier, France|CHU NICE, Nice, France|CHU Nimes, Nimes, France"
NCT05567042,A Clinical Study of Epilepsy Localization and Prognosis Based on PET and Resting-state fMRI,https://clinicaltrials.gov/study/NCT05567042,NO,Epileptic Seizure,OTHER: No intervention,ALL,"CHILD, ADULT, OLDER_ADULT",,
NCT01351727,Epidemiologic Follow Up Study of Newly Diagnosed Epilepsy Among Seniors,https://clinicaltrials.gov/study/NCT01351727,NO,Epileptic Seizures,,ALL,OLDER_ADULT,,"Pima, Cochise, Santa Cruz Counties, Tucson, Arizona, 85724, United States"
NCT02134366,Clobazam Use in Epilepsia Partialis Continua - Pilot Study,https://clinicaltrials.gov/study/NCT02134366,NO,Epilepsia Partialis Continua|Kojewnikov's Epilepsy|Epilepsy,DRUG: Clobazam|DRUG: Clonazepam|DRUG: Lorazepam,ALL,"ADULT, OLDER_ADULT",PHASE3,"Cooper Universtiy Hospital, Camden, New Jersey, 08103, United States"
NCT04204863,Status Epilepticus Population Study (STEPS),https://clinicaltrials.gov/study/NCT04204863,NO,Epileptic Seizures,OTHER: collection of patient data,ALL,"ADULT, OLDER_ADULT",,"Cantonal Hospital Aarau (KSA), Aarau, 5001, Switzerland|Clinic for Intensive Care Medicine, University Hospital Basel, Basel, 4031, Switzerland"
NCT05725174,Volatile Non-Invasive Biomarkers of Epileptic Seizures,https://clinicaltrials.gov/study/NCT05725174,NO,Epilepsy|Non-Epileptic Seizure,OTHER: Sample Collection,ALL,"ADULT, OLDER_ADULT",,"Chalfont Centre for Epilepsy, London, Buckinghamshire, SL9 0RJ, United Kingdom|National Hospital for Neurology and Neurosurgery, London, WC1N 3BG, United Kingdom"
NCT05241366,TMS vs Conventional Therapy for the Treatment of Functional Neurological Non Epileptic Seizure Disorder,https://clinicaltrials.gov/study/NCT05241366,NO,Psychogenic Non-Epileptic Seizure,DEVICE: Transcranial Magnetic Stimulation|DEVICE: Sham Transcranial Magnetic Stimulation coil,ALL,"ADULT, OLDER_ADULT",NA,"Instituto Nacional de Neurologia Y Neurocirugia Mvs, Mexico, Ciudad De Mexico, 14269, Mexico"
NCT01313260,Structural and Functional Connectivity in Partial Epilepsies Studied With MRI and MEG,https://clinicaltrials.gov/study/NCT01313260,NO,Epilepsies,,ALL,ADULT,,"ICM (Brain and Spine Institute), Paris, 75013, France"
