NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations
NCT01206374,Questionnaire and Laboratory Data on Vitiligo Vulgaris,https://clinicaltrials.gov/study/NCT01206374,NO,Vitiligo Vulgaris,,ALL,"CHILD, ADULT, OLDER_ADULT",,"Department of Dermatology, Beth Israel Medical Center, New York, New York, 10003, United States|Department of Dermatology, St. Luke's-Roosevelt Hospital Center, New York, New York, 10025, United States"
NCT01401374,Online Health Survey of Patients With Vitiligo Vulgaris/ Online Survey of Pediatric Patients With Vitiligo,https://clinicaltrials.gov/study/NCT01401374,NO,Vitiligo Vulgaris,,ALL,"CHILD, ADULT, OLDER_ADULT",,"St. Luke's-Roosevelt Hospital Center, New york, New York, 10025, United States"
NCT00907062,Ginkgo Biloba for the Treatment of Vitiligo Vulgaris in Adolescents,https://clinicaltrials.gov/study/NCT00907062,NO,Vitiligo Vulgaris,DIETARY_SUPPLEMENT: Ginkgo biloba,ALL,"CHILD, ADULT",PHASE1,"Noumena Naturopathic Health Clinic, Mississauga, Ontario, L5H 1H2, Canada"
NCT00372307,Efficacy and Safety of Pimecrolimus for the Treatment of Vitiligo Vulgaris,https://clinicaltrials.gov/study/NCT00372307,NO,Vitiligo Vulgaris,DRUG: Application of pimecrolimus,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE2,"University Hospital Ghent, Ghent, 9000, Belgium"
NCT03234673,"The Effect of Fractional Co2 Laser Either With Tacrolimus, Calcipotriol or NB-UVB in Stable Generalized Vitiligo",https://clinicaltrials.gov/study/NCT03234673,NO,Vitiligo Vulgaris,DRUG: Tacrolimus ointment|DRUG: calcipotriol ointment|DRUG: NB-UVB,ALL,"CHILD, ADULT",PHASE1,
NCT05607316,Evaluating the Efficacy and Safety of Metformin in Vitiligo,https://clinicaltrials.gov/study/NCT05607316,NO,Vitiligo,DRUG: Metformin Hydrochloride,ALL,"ADULT, OLDER_ADULT",PHASE2,"UMass Chan Medical School, Worcester, Massachusetts, 01605, United States"
NCT05869942,Histochemical Study of Vitiligo in Sohag University Hospital Patients,https://clinicaltrials.gov/study/NCT05869942,NO,Vitiligo,DIAGNOSTIC_TEST: Light microscopic studies|DIAGNOSTIC_TEST: Immunohistochemical studies,ALL,ADULT,NA,"Sohag University Hospital, Sohag, Egypt"
NCT05971381,Repigmentation of Stable Vitiligo Lesions Using Spray-On Skin™ Cells,https://clinicaltrials.gov/study/NCT05971381,NO,Vitiligo,DEVICE: RECELL® Autologous Cell Harvesting Device,ALL,"ADULT, OLDER_ADULT",NA,"Affiliated Dermatology, Scottsdale, Arizona, 85225, United States|University of California, Irvine, Irvine, California, 92697, United States|West Dermatology Research Center, San Diego, California, 92121, United States|Sutter Health, Sunnyvale, California, 94086, United States|California Dermatology Institute, Thousand Oaks, California, 91320, United States|Clarity Dermatology, Castle Rock, Colorado, 80109, United States|Siperstein Dermatology Group, Boynton Beach, Florida, 33437, United States|Skin Care Research, LLC, Hollywood, Florida, 33021, United States|Dermatologic Surgery Center of Washington, Chevy Chase, Maryland, 20815, United States|Maryland Laser, Skin & Vein Institute, Hunt Valley, Maryland, 21030, United States|University Of Massachusetts, Worcester, Massachusetts, 01605, United States|Hamzavi Dermatology, Canton, Michigan, 48187, United States|Henry Ford Health, Detroit, Michigan, 48202, United States|Grekin Skin Institute, Warren, Michigan, 48088, United States|The Dermatology Specialist, New York, New York, 10012, United States|Mount Sinai, New York, New York, 10028, United States|Dermatology, Laser and Vein Specialists of the Carolinas, Charlotte, North Carolina, 28207, United States"
NCT05706636,T Central Memory Cells in Early Localized Non-Segmental Vitiligo,https://clinicaltrials.gov/study/NCT05706636,NO,Vitiligo,DRUG: oral mini pulse|DRUG: Topical cream|DEVICE: targeted phototherapy,ALL,"CHILD, ADULT",NA,"Cairo university hospitals, dermatology outpatient clinic, Cairo, Egypt"
NCT06209138,5-fluorouracil for Treatment of Stable Vitiligo,https://clinicaltrials.gov/study/NCT06209138,NO,Vitiligo,DRUG: 5 fluorouracil|OTHER: Saline,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"Al-Azhar University, Assiut, No State, Egypt"
NCT06446063,Efficacy & Tolerance of Cosmetic Product RV5098A on Face Pigmentation Maintenance in Adult Vitiligo Patients.,https://clinicaltrials.gov/study/NCT06446063,NO,Vitiligo,OTHER: Test product|OTHER: Control Product,ALL,"ADULT, OLDER_ADULT",,"COSDERMA, Bordeaux, Gironde, 33000, France"
NCT05233735,Enhanced Transcutaneous Delivery of Betamethasone for the Treatment of Vitiligo,https://clinicaltrials.gov/study/NCT05233735,NO,Vitiligo,OTHER: Enhanced Transcutaneous Delivery of Topical Betamethasone after the treatment with Tixel|OTHER: Topical treatment,ALL,"ADULT, OLDER_ADULT",NA,"Department of Dermatology, Tel Aviv Sourasky medical center, Tel Aviv, 64239, Israel"
