NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations,Principal_Investigators
NCT06230991,A Pilot Study of Efficacy and Safety of SIM05 in Adults With Atopic Eczema,https://clinicaltrials.gov/study/NCT06230991,NO,Atopic Eczema,DIETARY_SUPPLEMENT: SIM05,ALL,"ADULT, OLDER_ADULT",,"Prince of Wales Hospital, Hong Kong, Hong Kong",
NCT05454722,A Study to Evaluate Adex Gel in the Treatment of Atopic Eczema.,https://clinicaltrials.gov/study/NCT05454722,NO,Atopic Eczema,DEVICE: ADEX Gel,ALL,CHILD,,"Cripps Health Centre, Nottingham, Nottinghamshire, United Kingdom|Atherstone Surgery, Atherstone, Warwickshire, CV9 1EU, United Kingdom",Dermal Laboratories Ltd
NCT06453512,A Study to Evaluate the Emollient Performance of Doublebase Once in the Treatment of Atopic Eczema,https://clinicaltrials.gov/study/NCT06453512,NO,Atopic Eczema,DEVICE: Doublebase Once,ALL,"CHILD, ADULT, OLDER_ADULT",,,"Principal Investigator : Simon T Royal, BMedSci BM BS , Dermal Laboratories Ltd"
NCT03143504,A Longitudinal Investigation of Skin Barrier Development From Birth and the Validation of Early Predictors of Atopic Eczema Risk: the Skin Testing for Atopic Eczema Risk (STAR) Study,https://clinicaltrials.gov/study/NCT03143504,NO,Atopic Eczema,DIAGNOSTIC_TEST: Skin Testing for Atopic eczema,ALL,CHILD,,"Sheffield Teaching Hospitals NHS Foundation Trust, Sheffield, South Yorkshire, S10 SJF, United Kingdom","Study Director : Simon G Danby, PhD, BSc , University of Sheffield"
NCT02915146,Narrowband Ultraviolet B Versus Narrowband Ultraviolet B Plus Ultraviolet A1 for Atopic Eczema,https://clinicaltrials.gov/study/NCT02915146,NO,Atopic Eczema,RADIATION: combined ultraviolet phototherapy (NB-UVB + UVA1) vs. NB-UVB monotherapy,ALL,"CHILD, ADULT, OLDER_ADULT",,"Ninewells Hospital, Dundee, DD1 9SY, United Kingdom","Principal Investigator : Robert S Dawe , NHS Tayside and University of Dundee"
NCT00576238,Skin Tolerance Study of Betamethasone Creams in Atopic Eczema and the Preventative Properties of a Moisturiser,https://clinicaltrials.gov/study/NCT00576238,NO,Atopic Eczema,DRUG: betamethasone valerate|DRUG: betamethasone valerate|DRUG: urea,ALL,"ADULT, OLDER_ADULT",PHASE3,"Nacka hudmottagning, Nacka, 13183, Sweden|Nacka närsjukhus, Nacka, 13183, Sweden|Sophiahemmet, Stockholm, 11486, Sweden|Hudkliniken, Danderyds sjukhus, Stockholm, 18288, Sweden|Läkarhuset Vällingby, Vällingby, 16862, Sweden","Principal Investigator : Berit Berne, MD , Hudkliniken, Akademiska sjukhuset, Uppsala"
NCT05624112,Dupilumab Skin BArrier Function and LIpidomics STudy in Atopic Dermatitis in China,https://clinicaltrials.gov/study/NCT05624112,NO,Atopic Dermatitis|Dermatitis Atopic,DRUG: Dupilumab,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE4,"Dermatology Hospital of Southern Medical University (Guangdong Provincial Dermatology Hospital), Guangzhou, Guangdong, 510091, China","Study Director : Clinical Sciences & Operations , Sanofi"
NCT00676884,A Phase 2a Study to Investigate the Effects of Repeated Administration of AeroDerm in Subjects With Atopic Eczema,https://clinicaltrials.gov/study/NCT00676884,NO,Atopic Eczema,"DRUG: Aeroderm (also known as pitrakinra, AER 001, BAY 16-9996)|DRUG: placebo",ALL,"ADULT, OLDER_ADULT",PHASE2,"Guy's Drug Research unit, Quintiles Limited, London, SE1 1YR, United Kingdom","Principal Investigator : Darren Wilbraham, MBBS , Guy's Drug Research Unit, Quintiles Limited Principal Investigator : Richard Groves, FRCP , St. Johns Institute of Dermatology St. Thomas' Hospital London"
NCT02381028,Topical Treatment With Fresh Human Milk Versus Emollient on Atopic Eczema Spots in Young Children,https://clinicaltrials.gov/study/NCT02381028,NO,Atopic Eczema,OTHER: Human milk and emollient: Apobase creme® (Actavis Norway AS)|OTHER: Emollient: Apobase creme® (Actavis Norway AS),ALL,CHILD,,,"Principal Investigator : Teresa L Berents, MD , Oslo University Hospital"
NCT03270566,Softened Water for Eczema Prevention Pilot Trial,https://clinicaltrials.gov/study/NCT03270566,NO,Atopic Eczema,DEVICE: Domestic ion-exchange water softener,ALL,"CHILD, ADULT, OLDER_ADULT",,"St Thomas' Hospital, London, SE1 7EH, United Kingdom","Principal Investigator : Carsten Flohr, PhD, FRCPCH , King's College London"
