NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations
NCT05594316,New Treatment of Alopecia Areata,https://clinicaltrials.gov/study/NCT05594316,NO,Alopecia Areata,DRUG: Trichloroacetic acid,ALL,"CHILD, ADULT",NA,"Al-Azhar university, faculty of medicine, Cairo, Egypt|Al-Azhar university, Cairo, Egypt"
NCT05744505,1565nm Non-ablative Fractional Laser Treat Alopecia Areata,https://clinicaltrials.gov/study/NCT05744505,NO,Alopecia Areata,PROCEDURE: 1565nm Non-ablative Fractional Laser|PROCEDURE: placebo,ALL,ADULT,NA,"Xianjie Wu, Hangzhou, Zhejiang, 310009, China"
NCT04833179,Fecal Transplant for Alopecia Areata,https://clinicaltrials.gov/study/NCT04833179,NO,Alopecia Areata,BIOLOGICAL: fecal transplant|OTHER: placebo,ALL,"ADULT, OLDER_ADULT",NA,
NCT06088147,Methotrexate Versus Triamcinilone Acetonide in Treatment of Recalcitrant Alopecia Areata,https://clinicaltrials.gov/study/NCT06088147,NO,Alopecia Areata,DRUG: Methotrexate|DRUG: Triamcinolone Acetonide,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"Al-Azhar University, Assiut, Egypt"
NCT06087796,Topical Pentoxifylline; Metformin Versus Betamethasone in the Treatment of Alopecia Areata.,https://clinicaltrials.gov/study/NCT06087796,NO,Alopecia Areata,DRUG: Betamethasone Valerate 0.1% Cream|DRUG: Pentoxifylline|DRUG: Metformin,ALL,"CHILD, ADULT",PHASE1,"Assiut university, Assiut, 71515, Egypt"
NCT05865041,Investigate the Efficacy and Safety of Farudodstat Compared With Its Placebo in Adult Alopecia Areata Participants,https://clinicaltrials.gov/study/NCT05865041,NO,Alopecia Areata,DRUG: Farudodstat|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"1 Site, Birmingham, Alabama, 35205, United States|1 Site, Fountain Valley, California, 92708, United States|1 Site, Santa Ana, California, 92701, United States|1 Site, New Haven, Connecticut, 06519, United States|1 Site, Washington, District of Columbia, 20037, United States|1 Site, Coral Gables, Florida, 33134, United States|1 Site, Indianapolis, Indiana, 46250, United States|1 Site, Louisville, Kentucky, 40241, United States|1 Site, Brighton, Massachusetts, 02135, United States|1 Site, Minneapolis, Minnesota, 55455, United States|1 Site, New Brighton, Minnesota, 55112, United States|1 Site, Saint Joseph, Missouri, 64506, United States|1 Site, Omaha, Nebraska, 68114, United States|1 Site, Cleveland, Ohio, 44195, United States|1 Site, Columbus, Ohio, 43215, United States|1 Site, Nashville, Tennessee, 37215, United States|1 Site, Pflugerville, Texas, 78660, United States|2 Sites, San Antonio, Texas, 78218, United States|1 Site, Webster, Texas, 77598, United States"
NCT05600673,Combined CO2 Fractional Laser With Bimatoprost 0.03% Treatment of Alopecia Areata,https://clinicaltrials.gov/study/NCT05600673,NO,Alopecia Areata,DRUG: Bimatoprost 0.03% solution|DEVICE: CO2 fractional laser,ALL,"CHILD, ADULT",PHASE1|PHASE2,"AL-Azhar University Hospital, Cairo, 11865, Egypt"
NCT04680234,Superficial Cryotherapy Versus Microneedling in Alopecia Areata,https://clinicaltrials.gov/study/NCT04680234,NO,Alopecia Areata,PROCEDURE: DMEP kit|DEVICE: Dermapen,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"Sohag Faculty of Medicine, Sohag, 52324, Egypt"
NCT05496426,A Study of KL130008 in Adults With Severe Alopecia Areata,https://clinicaltrials.gov/study/NCT05496426,NO,Alopecia Areata,DRUG: KL130008/Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2,"The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, Guangzhou, 510080, China"
NCT05588310,Quantification of the Socio-economic Multifacet Burden of Alopecia Areata and Identification of the Associated Factors,https://clinicaltrials.gov/study/NCT05588310,NO,Alopecia Areata,,ALL,"ADULT, OLDER_ADULT",,"Toulouse University hospital, Toulouse, 31300, France"
