Disease,NCT Number,Study Title,Study URL,Study Results,Conditions,Interventions,Sex,Age,Phases,Locations,Principal_Investigators
Epilepsy,NCT02269137,Assessment of Severity and Prognosis for Patients With Status Epileptics(SE),https://clinicaltrials.gov/study/NCT02269137,NO,Status Epileptics,,ALL,"CHILD, ADULT, OLDER_ADULT",,"The Department of Neurology, Xijing Hospital, Xi'an, Shaanxi, 710032, China","Study Director : Wen Jiang, MD , The Department of Neurology, Xijing Hospital"
Epilepsy,NCT02560597,Repetitive Transcranial Magnetic Stimulation (rTMS) for the Treatment of Epilepsy,https://clinicaltrials.gov/study/NCT02560597,NO,Epilepsia Partialis Continua|Status Epilepticus,PROCEDURE: repetitive transcranial magnetic stimulation,ALL,"ADULT, OLDER_ADULT",,"University Hospital, Ghent, Ghent, 9000, Belgium","Principal Investigator : Alfred Meurs, MD, PhD , University Hospital, Ghent"
Epilepsy,NCT03154307,Repeated TMS at Low Frequencies to Reduce Seizure Occurrence,https://clinicaltrials.gov/study/NCT03154307,YES,"Epilepsy|Status Epilepticus|Epilepsia Partialis Continua|Epilepsia Partialis Continua, Refractory (Medically)",DEVICE: Low frequency repeated TMS (LF-rTMS),ALL,"ADULT, OLDER_ADULT",,"Baptist Hospital of Miami, Miami, Florida, 33176, United States","Principal Investigator : Alberto Pinzon, M.D., Ph.D. , Baptist Health South Florida"
Epilepsy,NCT02968966,Pathophysiology Based Therapy of Early Onset Epileptic Encephalopathies,https://clinicaltrials.gov/study/NCT02968966,NO,"Seizure, Epileptic",OTHER: Therapy regime,ALL,CHILD,PHASE2,"Universtiy Hospital, TÃ¼bingen, 72076, Germany","Principal Investigator : Markus Wolff, Dr. , University Children's Hospital TÃ¼bingen"
Epilepsy,NCT05459597,Antiepileptic Drugs in Elderly Patients,https://clinicaltrials.gov/study/NCT05459597,NO,"Seizure, Epileptic",DRUG: antiepileptic drugs,ALL,OLDER_ADULT,,"Wei Zhao, Jinan, Shandong, China","Study Chair : Wei Zhao , Qianfoshan Hospital"
Epilepsy,NCT01116700,Dexmedetomidine in Seizure Patients,https://clinicaltrials.gov/study/NCT01116700,NO,Seizure Disorders,DRUG: Dexmedetomidine,ALL,"ADULT, OLDER_ADULT",PHASE1,"University of California San Francisco, San Francisco, California, 94122, United States","Principal Investigator : Alana M Flexman, MD , UCSF Department of Anesthesia Principal Investigator : Pekka Talke, MD , UCSF Department of Anesthesia Principal Investigator : Paul Garcia, MD , UCSF Department of Neurology"
Epilepsy,NCT05431595,Managing Agitated Delirium With Neuroleptics and Anti-Epileptics as a Neuroleptic Sparing Strategy,https://clinicaltrials.gov/study/NCT05431595,NO,Delirium|Epileptics|Neuroleptics,DRUG: Haloperidol|DRUG: Chlorpromazine|DRUG: Valproate|DRUG: Placebo,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,"MD Anderson Cancer Center, Houston, Texas, 77030, United States","Principal Investigator : David Hui, MD , M.D. Anderson Cancer Center"
Epilepsy,NCT03860467,Epileptic Seizures in Intensive Care Units,https://clinicaltrials.gov/study/NCT03860467,NO,Epileptic Seizure,OTHER: collection of patient data,ALL,"ADULT, OLDER_ADULT",,"Clinic for Intensive Care Medicine, University Hospital Basel, Basel, 4031, Switzerland","Principal Investigator : Raoul Sutter, PD Dr. med , Clinic for Intensive Care Medicine, University Hospital Basel"
Epilepsy,NCT02229318,A Taste and Acceptance Study of FruitiVits in Children Aged 4-8 Years Following a Ketogenic Diet.,https://clinicaltrials.gov/study/NCT02229318,YES,Seizure Disorders,DIETARY_SUPPLEMENT: FruitiVits,ALL,CHILD,,"The Children's Hospital of Philadelphia, Division of Neurology, Philadelphia, Pennsylvania, 19104, United States","Principal Investigator : Christina Bergqvist, M.D , Children's Hospital of Philadelphia"
Epilepsy,NCT01159431,External Trigeminal Nerve Stimulation for Epilepsy,https://clinicaltrials.gov/study/NCT01159431,YES,Epilepsy|Seizure Disorders,DEVICE: Trigeminal Nerve Stimulation,ALL,"ADULT, OLDER_ADULT",PHASE2,"USC Department of Neurology, Los Angeles, California, 90033, United States|Olive View/UCLA Medical Center, Sylmar, California, 91342, United States","Principal Investigator : Christopher M DeGiorgio, MD , UCLA Department of Neurology Principal Investigator : Christi Heck, MD , University of Southern California"
