Disease,NCT Number,Study Title,Study URL,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sex,Age,Phases,Locations,Principal_Investigators
Hashimoto Encephalitis,NCT03003143,Effect of Vigabatrin in Refractory Autoimmune Encephalitis Patients,https://clinicaltrials.gov/study/NCT03003143,Autoimmune Encephalopathy,DRUG: Vigabatrin 500 MG,"Seizure frequency reduction, 50% reduction - favorable outcome, 3 month of vigabatrin administration","Modified Rankin Scale, 3 month of vigabatrin administration|Quality of life (Quality of Life in Epilepsy Inventory, QOLIE-31), after 3 month of vigabatrin administration|Depression (Beck Depression InventoryÂ®-II), 3 month of vigabatrin administration|Cognition (Mini-Mental State Examination-Korean), 3 month of vigabatrin administration|Sleep quality (Pittsburgh Sleep Quality Assessment), 3 month of vigabatrin administration",,ALL,"ADULT, OLDER_ADULT",NA,"Seoul National University Hospital, Seoul, Korea, Republic of","Study Chair : KON CHU, MD, PhD , Seoul National University Hospital"
Hashimoto Encephalitis,NCT06388161,Neural Autoantibody Prevalence in New-onset Focal Seizures of Unknown Etiology,https://clinicaltrials.gov/study/NCT06388161,Epilepsy|Encephalitis Autoimmune,,"Detectable serum neural autoantibodies, such as NMDARã€AMPAR1ã€AMPAR2ã€LGI1ã€lg LON5ã€DPPXã€GAD65ã€mGluR5ã€MOG, at baseline|Neuronal surface antibodies-mediated autoimmune- encephalitis, diagnosed according to the 2016 diagnostic criteria, at baseline","The proportion of seizure freedom, We defined seizure freedom according to the International League Against Epilepsy (ILAE) definition, through study completion, an average of 1 year|The proportion of drug-resistent epilepsy, We defined drug-resistent epilepsy according to the International League Against Epilepsy (ILAE) definition, through study completion, an average of 1 year|Clinical severity and recovery, modified Rankin scale, ranging from 0-6, higher scores mean a worse outcome, through study completion, an average of 1 year",,ALL,"CHILD, ADULT, OLDER_ADULT",,"2nd Affiliated Hospital, School of Medicine, Zhejiang University, China, Hangzhou, Zhejiang, China","Principal Investigator : Chunhong Shen , Second Affiliated Hospital, School of Medicine, Zhejiang University"
Hashimoto Encephalitis,NCT05503264,"A Study To Evaluate The Efficacy, Safety, Pharmacokinetics, And Pharmacodynamics Of Satralizumab In Patients With Anti-N-Methyl-D-Aspartic Acid Receptor (NMDAR) Or Anti-Leucine-Rich Glioma-Inactivated 1 (LGI1) Encephalitis",https://clinicaltrials.gov/study/NCT05503264,NMDAR Autoimmune Encephalitis|LGI1 Autoimmune Encephalitis,DRUG: Satralizumab|OTHER: Placebo,"Part 1: Proportion of participants with mRS score improvement â‰¥ 1 from baseline and no use of rescue therapy at Week 24, mRS = Modified Rankin Scale, Baseline up to Week 24|Part 2: Percentage of participants with adverse events, From Week 52 up to 2 years","Part 1: Time to mRS score improvement â‰¥ 1 from baseline without use of rescue therapy, mRS = Modified Rankin Scale, Baseline up to Week 52|Part 1: Time to rescue therapy, Baseline up to Week 52|Part 1: Time to seizure freedom or cessation of status epilepticus without use of rescue therapy, Seizure freedom defined as a cessation of seizures for at least 6 consecutive weeks, Baseline up to Week 24|Part 1: Change in CASE score from baseline at Week 24, CASE = Clinical Assessment Scale in Autoimmune Encephalitis, Baseline up to Week 24|Part 1: MOCA total score at Week 24, MOCA = Montreal Overall Cognitive Assessment;, Baseline up to Week 24|Part 1: RAVLT score at Week 24 (LGI1 AIE cohort), RAVLT = Rey Auditory Verbal Learning Test., Baseline up to Week 24|Part 1: mRS score at Week 24 (as measured on a 7-point scale; NMDAR AIE cohort), mRS = Modified Rankin Scale, Baseline up to Week 24|Part 1: Percentage of participants with adverse events, Severity determined according to National Cancer Institute Common Terminology Criteria for Adverse Events, Version 5.0, Baseline, Week 52, 2 Years",,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"University of Alabama at Birmingham, Birmingham, Alabama, 35294-3300, United States|UC San Diego; ACTRI, La Jolla, California, 92037, United States|Hoag Memorial Hospital, Newport Beach, California, 92658, United States|UCSF- Multiple Sclerosis Centre; Department of Neurology, San Francisco, California, 94158, United States|University of Colorado; Anschutz Medical Campus Department of Neurology, Aurora, Colorado, 80045, United States|University of Iowa Hospitals & Clinics; Department of Neurology, Iowa City, Iowa, 52242, United States|University of Maryland Medical Center; Department of Neurology, Baltimore, Maryland, 21201, United States|Johns Hopkins Hospital; Neurology, Baltimore, Maryland, 21205, United States|Brigham and Women's Hospital Department of Neurology, Boston, Massachusetts, 02115, United States|Mayo Clinic - Rochester, Rochester, Minnesota, 55905, United States|NYU-Langone Medical Center, New York, New York, 10016, United States|University Hospitals of Cleveland, Cleveland, Ohio, 44106, United States|Cleveland Clinic Foundation, Cleveland, Ohio, 44915, United States|Swedish Neuroscience Institute, Seattle, Washington, 98122, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, 53226, United States|Hospital Ramos MejÃ­a, Caba, C1221ADC, Argentina|Hospital Britanico, Ciudad Autonoma Bs As, C1280AEB, Argentina|Sanatorio del Sur S.A., San Miguel de Tucuman, T4000IDK, Argentina|Kepler UniversitÃ¤tsklinikum GmbH - Neuromed Campus; Innere Medizin mit Neuroonkologie, Linz, 4020, Austria|Medizinische UniversitÃ¤t Wien; Univ.Klinik fuer Neurologie, Wien, 1090, Austria|CEDOES - DiagnÃ³stico e Pesquisa, Vitoria, ES, 29055-450, Brazil|Instituto de Neurologia de Curitiba, Curitiba, PR, 81210-310, Brazil|Centro de Pesquisas Clinicas; CPCLIN, Sao Paulo, SP, 01228-200, Brazil|Beijing Children's Hospital, Capital Medical University, Beijing City, 100045, China|Beijing Tiantan Hospital,Capital Medical University, Beijing City, 100050, China|Beijing Tongren Hospital, Beijing, 100730, China|The First Hospital of Jilin University, Changchun City, 130021, China|The Second Xiangya Hospital of Central South University, Changsha, 410011, China|West China Hospital - Sichuan University, Chengdu City, 610047, China|Fujian Medical University Union Hospital, Fuzhou City, 350001, China|Guangzhou First Municipal People's Hospital, Guangzhou, 510180, China|Affiliated Hospital of Jining Medical University, Jining, 272029, China|Huashan Hospital, Fudan University, Shanghai City, 200040, China|The First Hospital of Shanxi Medical University, Taiyuan, 030001, China|The First Affiliated Hospital of Wenzhou Medical University, Wenzhou City, 325035, China|Tongji Hospital Tongji Medical College Huazhong University of Science and Technology, Wuhan City, 430030, China|Fakultni nemocnice Hradec Kralove, Hradec Kralove, 500 05, Czechia|Fakultni nemocnice v Motole; Neurologicka klinika 2. LF UK a FN Motol, Praha 5, 150 06, Czechia|Odense Universitetshospital, Neurologisk Afdeling N, Odense C, 5000, Denmark|Hopital neurologique Pierre Wertheimer - CHU Lyon; Neurologie, Bron, 69677, France|CHRU - HÃ´pital Bretonneau; Neurologie, Tours, 37000, France|Komfo Anokye Teaching Hospital; Department of Medicine, Kumasi, Ghana|A. O. U. Federico II; Dip Neuroscienze, Scienze Riproduttive ed Odontostomatologiche, Napoli, Campania, 80131, Italy|AOU Seconda UniversitÃ degli Studi; Dip.Assistenziale Integrato Medicina Int-I Clinica Neurologica, Napoli, Campania, 80138, Italy|Ospedale Pediatrico Bambino GesÃ¹; Divisione di Neurologia, Roma, Lazio, 00165, Italy|Irccs A.O.U.San Martino Ist; Dinogmi, Genova, Liguria, 16132, Italy|IRCCS Ospedale San Raffaele; Neurologia Neurofisiologia Neuroriabilitazione-Centro Sclerosi Multipla, Milano, Lombardia, 20132, Italy|Fondazione IRCCS Istituto Neurologico Carlo Besta, Milano, Lombardia, 20133, Italy|Fondazione Istituto Neurologico Mondino IRCCS, Pavia, Lombardia, 27100, Italy|AOU Policlinico Giaccone; UOC Neurologia e Neurofisiopatologia-Amb Sclerosi Multipla, Palermo, Sicilia, 90129, Italy|Fujita Health University Hospital, Aichi, 470-1192, Japan|Chiba University Hospital, Chiba, 260-8677, Japan|Kyushu University Hospital, Fukuoka, 812-8582, Japan|Fukuoka University Hospital, Fukuoka, 814-0180, Japan|Gifu University Hospital, Gifu, 501-1194, Japan|Hokkaido University Hospital, Hokkaido, 060-8648, Japan|Hyogo prefectural Kobe Children's Hospital, Hyogoken, 6500047, Japan|Kobe University Hospital, Hyogo, 650-0017, Japan|St.Marianna University School of Medicine hospital; Medical Oncology, Kanagawa, 216-8511, Japan|Kitasato University Hospital, Kanagawa, 252-0375, Japan|Tokai University Hospital, Kanagawa, 259-1193, Japan|Tohoku University Hospital, Miyagi, 980-8574, Japan|Kindai University Hospital ; Faculty of Medicine, Osaka-sayama, 589-8511, Japan|Osaka University Hospital, Osaka, 565-0871, Japan|Ageo Central General Hospital, Saitama, 362-8588, Japan|Juntendo University Hospital, Tokyo, 113-8431, Japan|Nihon University Itabashi Hospital, Tokyo, 173-8610, Japan|Seoul National University Hospital, Seoul, 03080, Korea, Republic of|Erasmus MC, Rotterdam, 3015 GD, Netherlands|Regionalny Szpital Specjalistyczny im. W. Bieganskiego; Oddzial Neurologiczny, Grudzi?dz, 86-300, Poland|Szpital Uniwersytecki w Krakowie; Oddzia? kliniczny Neurologii, KrakÃ³w, 31-503, Poland|Instytut Psychiatrii i Neurologii II Klinika Neurologiczna, Warszawa, 02-957, Poland|SPSK nr 1; Klinika Neurologii, Zabrze, 41-800, Poland|Kaohsiung Chang Gung Memorial Hospital, Kaohsiung City, 00833, Taiwan|China Medical University Hospital, North Dist., 40402, Taiwan|Chang Gung Memorial Hospital - Linkou, Taoyuan, 333, Taiwan","Study Director : Clinical Trials , Hoffmann-La Roche"
Hashimoto Encephalitis,NCT06019975,FDG-PET in the Diagnosis of Autoimmune Encephalitis,https://clinicaltrials.gov/study/NCT06019975,Autoimmune Encephalitis,DIAGNOSTIC_TEST: FDG-PET,"SPM analysis of brain metabolic pattern, Pattern of brain metabolism in patients with autoimmune encephalitis compared with healthy controls and patients with Alzheimer's disease, drawn from validated published databases, up to 6 months","Sensitivity of basal ganglia hypermetabolism, Sensitivity of basal ganglia hypermetabolism for the diagnosis of autoimmune encephalitis, up to 6 months|Diagnostic delay, Comparison of diagnostic delay with and without FDG-PET, up to 6 months",,ALL,"CHILD, ADULT, OLDER_ADULT",,"Azienda Sanitaria Universitaria Friuli Centrale, Udine, Friuli Venezia Giulia, Italy|IRCCS Ospedale Policlinico San Martino, Genova, Liguria, Italy|Fondazione IRCCS Mondino, Pavia, Lombardia, Italy|Fondazione IRCCS San Gerardo dei Tintori, Monza, Monza E Della Brianza, 20900, Italy|Fondazione IRCCS Istituto Neurologico ""Carlo Besta"", Milano, 20133, Italy|Ospedale San Paolo, Milano, 20142, Italy","Principal Investigator : Simone Beretta, MD, PhD , University of Milano Bicocca"
Hashimoto Encephalitis,NCT06079294,Impact of Confirmed Autoimmune Encephalitis on Brain Glucose Metabolism,https://clinicaltrials.gov/study/NCT06079294,Autoimmune Encephalitis,OTHER: FDG PET,"Main analysis of initial brain FDG PET, Automated region-based and voxel wise quantitative PET analysis, estimation of the proportion of patients with PET anomalies (overall and by region of interest)., PET performed at the acute phase, before immunomodulating treatment (or within 10 days of treatment initiation)","Analysis of follow-up brain FDG PET, Automated region-based and voxel wise quantitative PET analysis comparatively to initial brain PET, PET performed 3 months after treatment initiation, compared to initial brain PET|Secondary analysis of initial brain FDG PET, Subgroup PET analysis according to autoantibody subtype or seronegative status, PET performed at the acute phase, before immunomodulating treatment (or within 10 days of treatment initiation)|Secondary analysis of initial brain FDG PET, Correlation of main analysis results to important clinical variables (clinical symptomatology (typology and duration of symptoms), MRI, cerebrospinal fluid (CSF), electroencephalogram (EEG).), PET performed at the acute phase, before immunomodulating treatment (or within 10 days of treatment initiation)|Secondary analysis of initial brain FDG PET, PET voxel-wise connectivity analysis, PET performed at the acute phase, before immunomodulating treatment (or within 10 days of treatment initiation)|Secondary analysis of initial and follow-up brain FDG PET, Correlation of PET treatment response to clinical symptom treatment response, PET performed at the acute phase, before immunomodulating treatment (or within 10 days of treatment initiation), and follow-up PET 3 months after treatment initiation|Analysis of initial whole body FDG PET, Evaluation of whole body FDG PET diagnostic performance for identifying neoplasms in paraneoplastic syndromes, PET performed at the acute phase, before immunomodulating treatment (or within 10 days of treatment initiation)",,ALL,"ADULT, OLDER_ADULT",NA,"Hospital Pitie Salpetriere, Paris, 75013, France","Principal Investigator : AurÃ©lie Kas, Pr , HÃ´pital PitiÃ© SalpÃªtriÃ¨re - Assistance Publique HÃ´pitaux de Paris"
Hashimoto Encephalitis,NCT06033846,Efficacy and Safety of Adjunctive Minocycline in the Treatment of Autoimmune Encephalitis,https://clinicaltrials.gov/study/NCT06033846,Autoimmune Encephalitis,DRUG: Minocycline,"MoCA scores, The proportion of patients with MoCA scores â‰¥26 at 3 months after enrollment., 3 months","mRS scores, The proportion of patients with mRS scores â‰¤2 at discharge., 1 month|MoCA scores, The proportion of patients with MoCA scores â‰¥26 at discharge., 1 month|MMSE scores, The proportion of patients with MMSE scores â‰¥27 at discharge., 1 month|mRS scores, The proportion of patients with mRS scores â‰¤2 at 3 months., at 3 months|MMSE scores, The proportion of patients with MMSE scores â‰¥27 at 3 months., at 3 months|HAMA scores, HAMA scores at 3 months., at 3 months|HAMD scores, HAMD scores at 3 months., at 3 months","number of participants with medical laboratory results, medical laboratory results at admission, at admission|medical imaging data, medical imaging data at onset, 3 months",ALL,"ADULT, OLDER_ADULT",PHASE2,"Xijing Hospital, Xi'an, China",Xijing Hospital
Hashimoto Encephalitis,NCT05711563,Predicting and Monitoring Outcomes in Autoimmune Encephalitis,https://clinicaltrials.gov/study/NCT05711563,Autoimmune Encephalitis,OTHER: Observational study,"Seizure frequency, \>50% improvement in seizure frequency over time, 1-3 years|Functional status, Modified Rankin score, 1-3 years","Cognitive ability, As measured by the Addenbrooke's Cognitive Examination., 1-3 years|Clinical status, As measured by the Clinical Assessment of severity in Autoimmune Encephalitis., 1-3 years|Mood/affect, Measured by the hospital anxiety and depression index, 1-3 years|Quality of life, EQ-5D-5L (By EuroQOL, not an abbreviation), 1-3 years|Pain, Patient-Reported Outcomes Measurement Information System (PROMIS) Pain interference short form A, 1-3 years|Fatigue, Fatigue Scale for Motor and Cognitive Funcitons, 1-3 years|Fatigue, Modified Fatigue and Impact Scale, 1-3 years|Sleep Quality, Pittsburgh Sleep Quality Index, 1-3 years|Impulsivity, Barratt Impulsivity Index, 1-3 years|Neuropsychiatric symptoms, Neuropsychiatric Inventory, 1-3 years","Other symptoms, Qualitiative analysis through semi-structured interview with participants and caregivers., 1-3 years",ALL,"ADULT, OLDER_ADULT",,,University of Oxford
Hashimoto Encephalitis,NCT03542279,Immunotherapy in Autoimmune Encephalitis,https://clinicaltrials.gov/study/NCT03542279,Autoimmune Encephalitis,"PROCEDURE: Plasma exchange|DRUG: IVIG, High-dose glucocorticoid","modified Rankin Scale, modified Rankin Scale: 0 - No symptoms. 1 - No significant disability. Able to carry out all usual activities, despite some symptoms.2 - Slight disability. Able to look after own affairs without assistance, but unable to carry out all previous activities. 3 - Moderate disability. Requires some help, but able to walk unassisted. 4 - Moderately severe disability. Unable to attend to own bodily needs without assistance, and unable to walk unassisted. 5 - Severe disability. Requires constant nursing care and attention, bedridden, incontinent. 6 - Dead. A score of 0-2 was considered a favorable outcome, whereas a score of 3-6 was graded as an unfavorable one., after 3 months following Immunotherapy","modified Rankin Scale, modified Rankin Scale: 0 - No symptoms. 1 - No significant disability. Able to carry out all usual activities, despite some symptoms.2 - Slight disability. Able to look after own affairs without assistance, but unable to carry out all previous activities. 3 - Moderate disability. Requires some help, but able to walk unassisted. 4 - Moderately severe disability. Unable to attend to own bodily needs without assistance, and unable to walk unassisted. 5 - Severe disability. Requires constant nursing care and attention, bedridden, incontinent. 6 - Dead. A score of 0-2 was considered a favorable outcome, whereas a score of 3-6 was graded as an unfavorable one., after 1 year following Immunotherapy|modified Rankin Scale, modified Rankin Scale: 0 - No symptoms. 1 - No significant disability. Able to carry out all usual activities, despite some symptoms.2 - Slight disability. Able to look after own affairs without assistance, but unable to carry out all previous activities. 3 - Moderate disability. Requires some help, but able to walk unassisted. 4 - Moderately severe disability. Unable to attend to own bodily needs without assistance, and unable to walk unassisted. 5 - Severe disability. Requires constant nursing care and attention, bedridden, incontinent. 6 - Dead. A score of 0-2 was considered a favorable outcome, whereas a score of 3-6 was graded as an unfavorable one., after 2 years following Immunotherapy",,ALL,"CHILD, ADULT, OLDER_ADULT",NA,"Xuanwu Hospital of Capital Medical University, Beijing, Beijing, 100053, China","Study Chair : Yan Zhang, Phd , Xuanwu Hospital, Beijing"
Hashimoto Encephalitis,NCT03004209,Effect of Erythropoietin in Refractory Autoimmune Encephalitis Patients,https://clinicaltrials.gov/study/NCT03004209,Autoimmune Encephalitis,DRUG: Erythropoietin,"Change from Baseline modified Rankin Scale (mRS) at 12th week, Favorable outcome is an improvement of mRS score., 2nd week, 12th week","Adverse effect, Common terminology criteria for adverse events (CTCAE) 4.0, 2nd week, 4th week, 8th week, 12th week|Quality of Life in Epilepsy Inventory (QOLIE) -31, 2nd week, 4th week, 8th week, 12th week|Mini-Mental State Examination (MMSE), 2nd week, 4th week, 8th week, 12th week",,ALL,"ADULT, OLDER_ADULT",PHASE4,"Seoul National University Hospital, Seoul, Korea, Republic of","Principal Investigator : Kon Chu, Ph.D , Seoul National University Hospital"
Hashimoto Encephalitis,NCT03993262,Trial to Evaluate Efficacy and Safety of Bortezomib in Patients With Severe Autoimmune Encephalitis,https://clinicaltrials.gov/study/NCT03993262,Autoimmune Encephalitis,DRUG: Bortezomib|DRUG: Placebo,"modified Rankin-Score (mRS), modified Rankin-Score from 0 = no symptoms to 6 = death, 17 weeks after first administration of the study drug","modified Rankin-Score (mRS), modified Rankin-Score from 0 = no symptoms to 6 = death, 3, 6, 9 and 13 weeks after first administration of the study drug; GCS Score also 17 weeks after first administration of the study drug|Length of in-hospital stay / length of ICU stay, Number of days in hospital or on ICU for each patient from first administration of the study drug until 17 weeks after first administration of the study drug, until 17 weeks after first administration of the study drug|Immune response, Antibody titer (in serum and liquor) and cellular immune response (FACS analysis of liquor), at study start and 17 weeks after first administration of the study drug|neurocognitive function assessed by Montreal Cognitive Assessment, total score of the Montreal Cognitive Assessment (MoCA) (0 to max. 30 points = best possible result), at study start and 17 weeks after first administration of the study medication|neurocognitive function assessed by Mini-Mental Status Test, total score of the Mini-Mental Status Test (MMST) (0 to max 30 points = best possible result), at study start and 17 weeks after first administration of the study medication|neurocognitive function assessed by Rey Auditory Verbal Learning Test, total score of the Rey Auditory Verbal Learning Test (RAVLT) (memory performance assessed by 3 word lists which are read to the patient and should be recalled and repeated by the patient; different proceeding for the 3 word lists), at study start and 17 weeks after first administration of the study medication|neurocognitive function assessed by Neuropsychiatric Inventory Questionnaire, total score of the Neuropsychiatric Inventory Questionnaire (NPI) (0 = best score to max 36 (patient) or 60 (caregiver), at study start and 17 weeks after first administration of the study medication|safety of Bortezomib regarding polyneuropathy, increase of liver enzymes and secondary infections, number of polyneuropathy cases, number of increased liver enzymes, number of secondary infections, until 17 weeks after first administration of the study drug|safety of Bortezomib regarding polyneuropathy, number of polyneuropathy cases, until 17 weeks after first administration of the study drug|safety of Bortezomib regarding increase of liver enzymes, number of increased liver enzyme values, until 17 weeks after first administration of the study drug|Secondary infections due to Bortezomib, number of secondary infections, until 17 weeks after first administration of the study drug|Hematotoxicity events due to Bortezomib, number of hematotoxicity events, until 17 weeks after first administration of the study drug|Gastrointestinal toxicity due to Bortezomib, number of gastrointestinal toxicity events, until 17 weeks after first administration of the study drug|total Glasgow Coma Scale (GCS), GCS from 3 to 15 points (sum of 3 subscores eye response (1 to 4 points), motor response (1 to 6 points), verbal response (1 to 5 points); highest score = best score; 1= worst score), 3, 6, 9, 13 and 17 weeks after first administration of the study drug|Destruction marker UCH-L1 (Ubiquitin carboxy-terminal hydrolase L1) in serum and liquor, Analysis of destruction marker UCH-L1 in serum and liquor, at baseline visit and 17 weeks after first administration of the study drug|Destruction marker Neurofilament light chain (in serum and liquor), Analysis of destruction marker Neurofilament light chain in serum and liquor, at baseline visit and 17 weeks after first administration of the study drug|Destruction markers GFAP (glial fibrillary acidic protein) in serum and liquor, Analysis of destruction marker GFAP in serum and liquor, at baseline visit and 17 weeks after first administration of the study drug|Destruction marker TAU proteins in serum and liquor, Analysis of destruction marker TAU in serum and liquor, at baseline visit and 17 weeks after first administration of the study drug",,ALL,"ADULT, OLDER_ADULT",PHASE2,"Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen, Klinikum GroÃŸhadern, MÃ¼nchen, Bayern, 81377, Germany|UniversitÃ¤tsklinikum WÃ¼rzburg, WÃ¼rzburg, Bayern, 97080, Germany|Medizinische Hochschule Hannover, Hannover, Niedersachen, 30625, Germany|CharitÃ© - UniversitÃ¤tsmedizin Berlin, Klinik fÃ¼r Neurologie mit Experimenteller Neurologie, Berlin, 10117, Germany|Ruhr-UniversitÃ¤t Bochum, St. Josef Hospital, Klinik fÃ¼r Neurologie, Bochum, 44791, Germany|University Hospital DÃ¼sseldorf, Clinic for Neurology, DÃ¼sseldorf, 40225, Germany|UniversitÃ¤tsklinikum Erlangen, Neurologische Klinik, Erlangen, 91054, Germany|UniversitÃ¤tsklinikum Essen (AÃ¶R), Klinik fÃ¼r Neurologie, Essen, 45147, Germany|University Hospital Frankfurt (Main), Clinic for Neurology, Frankfurt, 60528, Germany|UniversitÃ¤tsmedizin Greifswald, Klinik und Poliklinik fÃ¼r Neurologie, Greifswald, 17475, Germany|UniversitÃ¤tsmedizin GÃ¶ttingen Georg-August-UniversitÃ¤t, Klinik fÃ¼r Neurologie, GÃ¶ttingen, 37075, Germany|UniversitÃ¤tsklinikum Jena, Sektion Translationale Neuroimmunologie, Klinik fÃ¼r Neurologie, Jena, 07747, Germany|Klinik fÃ¼r Neurologie UKSH, Campus Kiel, Kiel, 24105, Germany|UniversitÃ¤tsklinikum Leipzig, Klinik und Poliklinik fÃ¼r Neurologie, Leipzig, 04103, Germany|UniversitÃ¤tsmedizin Mainz, Klinik und Poliklinik fÃ¼r Neurologie, Mainz, 55131, Germany|UniversitÃ¤tsklinikum MÃ¼nster Klinik fÃ¼r Neurologie, MÃ¼nster, 48149, Germany|UniversitÃ¤tsklinikum Ulm, Klinik fÃ¼r Neurologie Neurologische Ambulanz, Ulm, 89081, Germany","Study Director : Christian Geis, Prof. , University Hospital Jena"
