Disease,NCT Number,Study Title,Study URL,Study Results,Sex,Age,Phases,Conditions 1,Conditions 2,Conditions 3,Conditions 4,Conditions 5,Interventions 1,Interventions 2,Interventions 3,Interventions 4,Interventions 5,Locations_1,Locations_2,Locations_3,Principal Investigators 1,Principal Investigators 2,Principal Investigators 3,,
Epilepsy,NCT02269137,Assessment of Severity and Prognosis for Patients With Status Epileptics(SE),https://clinicaltrials.gov/study/NCT02269137,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Status Epileptics,,,,,,,,,,"The Department of Neurology, Xijing Hospital, Xi'an, Shaanxi, 710032, China",,,Wen Jiang,,,,
Epilepsy,NCT02560597,Repetitive Transcranial Magnetic Stimulation (rTMS) for the Treatment of Epilepsy,https://clinicaltrials.gov/study/NCT02560597,NO,ALL,"ADULT, OLDER_ADULT",,Epilepsia Partialis Continua,Status Epilepticus,,,,PROCEDURE: repetitive transcranial magnetic stimulation,,,,,"University Hospital, Ghent, Ghent, 9000, Belgium",,,Alfred Meurs,,,,
Epilepsy,NCT03154307,Repeated TMS at Low Frequencies to Reduce Seizure Occurrence,https://clinicaltrials.gov/study/NCT03154307,YES,ALL,"ADULT, OLDER_ADULT",,Epilepsy,Status Epilepticus,Epilepsia Partialis Continua,"Epilepsia Partialis Continua, Refractory (Medically)",,DEVICE: Low frequency repeated TMS (LF-rTMS),,,,,"Baptist Hospital of Miami, Miami, Florida, 33176, United States",,,Alberto Pinzon,,,,
Epilepsy,NCT02968966,Pathophysiology Based Therapy of Early Onset Epileptic Encephalopathies,https://clinicaltrials.gov/study/NCT02968966,NO,ALL,CHILD,PHASE2,"Seizure, Epileptic",,,,,OTHER: Therapy regime,,,,,"Universtiy Hospital, TÃ¼bingen, 72076, Germany",,,Markus Wolff,,,,
Epilepsy,NCT05459597,Antiepileptic Drugs in Elderly Patients,https://clinicaltrials.gov/study/NCT05459597,NO,ALL,OLDER_ADULT,,"Seizure, Epileptic",,,,,DRUG: antiepileptic drugs,,,,,"Wei Zhao, Jinan, Shandong, China",,,Wei Zhao,,,,
Epilepsy,NCT01116700,Dexmedetomidine in Seizure Patients,https://clinicaltrials.gov/study/NCT01116700,NO,ALL,"ADULT, OLDER_ADULT",PHASE1,Seizure Disorders,,,,,DRUG: Dexmedetomidine,,,,,"University of California San Francisco, San Francisco, California, 94122, United States",,,Alana M Flexman,Pekka Talke,Paul Garcia,,
Epilepsy,NCT05431595,Managing Agitated Delirium With Neuroleptics and Anti-Epileptics as a Neuroleptic Sparing Strategy,https://clinicaltrials.gov/study/NCT05431595,NO,ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,Delirium,Epileptics,Neuroleptics,,,DRUG: Haloperidol,DRUG: Chlorpromazine,DRUG: Valproate,DRUG: Placebo,,"MD Anderson Cancer Center, Houston, Texas, 77030, United States",,,David Hui,,,,
Epilepsy,NCT03860467,Epileptic Seizures in Intensive Care Units,https://clinicaltrials.gov/study/NCT03860467,NO,ALL,"ADULT, OLDER_ADULT",,Epileptic Seizure,,,,,OTHER: collection of patient data,,,,,"Clinic for Intensive Care Medicine, University Hospital Basel, Basel, 4031, Switzerland",,,Raoul Sutter,,,,
Epilepsy,NCT02229318,A Taste and Acceptance Study of FruitiVits in Children Aged 4-8 Years Following a Ketogenic Diet.,https://clinicaltrials.gov/study/NCT02229318,YES,ALL,CHILD,,Seizure Disorders,,,,,DIETARY_SUPPLEMENT: FruitiVits,,,,,"The Children's Hospital of Philadelphia, Division of Neurology, Philadelphia, Pennsylvania, 19104, United States",,,Christina Bergqvist,,,,
Epilepsy,NCT01159431,External Trigeminal Nerve Stimulation for Epilepsy,https://clinicaltrials.gov/study/NCT01159431,YES,ALL,"ADULT, OLDER_ADULT",PHASE2,Epilepsy,Seizure Disorders,,,,DEVICE: Trigeminal Nerve Stimulation,,,,,"USC Department of Neurology, Los Angeles, California, 90033, United States","Olive View/UCLA Medical Center, Sylmar, California, 91342, United States",,Christopher M DeGiorgio,Christi Heck,,,
Epilepsy,NCT02304029,Usefulness of Sodium MRI in the Presurgical Assessment of Drug-resistant Partial Epilepsy,https://clinicaltrials.gov/study/NCT02304029,NO,ALL,"ADULT, OLDER_ADULT",,Epileptic Seizures,,,,,DEVICE: MRI,,,,,"Assistance Publique - Hopitaux de Marseille, Marseille, 13005, France","CHU Montpellier, Montpellier, France","CHU NICE, Nice, France",,,,,
Epilepsy,NCT05567042,A Clinical Study of Epilepsy Localization and Prognosis Based on PET and Resting-state fMRI,https://clinicaltrials.gov/study/NCT05567042,NO,ALL,"CHILD, ADULT, OLDER_ADULT",,Epileptic Seizure,,,,,OTHER: No intervention,,,,,,,,,,,,
Epilepsy,NCT01351727,Epidemiologic Follow Up Study of Newly Diagnosed Epilepsy Among Seniors,https://clinicaltrials.gov/study/NCT01351727,NO,ALL,OLDER_ADULT,,Epileptic Seizures,,,,,,,,,,"Pima, Cochise, Santa Cruz Counties, Tucson, Arizona, 85724, United States",,,,,,,
Epilepsy,NCT02134366,Clobazam Use in Epilepsia Partialis Continua - Pilot Study,https://clinicaltrials.gov/study/NCT02134366,NO,ALL,"ADULT, OLDER_ADULT",PHASE3,Epilepsia Partialis Continua,Kojewnikov's Epilepsy,Epilepsy,,,DRUG: Clobazam,DRUG: Clonazepam,DRUG: Lorazepam,,,"Cooper Universtiy Hospital, Camden, New Jersey, 08103, United States",,,Melissa Carran,,,,
Epilepsy,NCT04204863,Status Epilepticus Population Study (STEPS),https://clinicaltrials.gov/study/NCT04204863,NO,ALL,"ADULT, OLDER_ADULT",,Epileptic Seizures,,,,,OTHER: collection of patient data,,,,,"Cantonal Hospital Aarau (KSA), Aarau, 5001, Switzerland","Clinic for Intensive Care Medicine, University Hospital Basel, Basel, 4031, Switzerland",,Raoul Sutter,,,,
Epilepsy,NCT05725174,Volatile Non-Invasive Biomarkers of Epileptic Seizures,https://clinicaltrials.gov/study/NCT05725174,NO,ALL,"ADULT, OLDER_ADULT",,Epilepsy,Non-Epileptic Seizure,,,,OTHER: Sample Collection,,,,,"Chalfont Centre for Epilepsy, London, Buckinghamshire, SL9 0RJ, United Kingdom","National Hospital for Neurology and Neurosurgery, London, WC1N 3BG, United Kingdom",,Matthew Walker,,,,
Epilepsy,NCT05241366,TMS vs Conventional Therapy for the Treatment of Functional Neurological Non Epileptic Seizure Disorder,https://clinicaltrials.gov/study/NCT05241366,NO,ALL,"ADULT, OLDER_ADULT",,Psychogenic Non-Epileptic Seizure,,,,,DEVICE: Transcranial Magnetic Stimulation,DEVICE: Sham Transcranial Magnetic Stimulation coil,,,,"Instituto Nacional de Neurologia Y Neurocirugia Mvs, Mexico, Ciudad De Mexico, 14269, Mexico",,,Ã‰dgar Daniel Crail MelÃ©ndez,,,,
Epilepsy,NCT01313260,Structural and Functional Connectivity in Partial Epilepsies Studied With MRI and MEG,https://clinicaltrials.gov/study/NCT01313260,NO,ALL,ADULT,,Epilepsies,,,,,,,,,,"ICM (Brain and Spine Institute), Paris, 75013, France",,,,,,,
Epilepsy,NCT04572243,A Study of Lorcaserin as Adjunctive Treatment in Participants With Dravet Syndrome,https://clinicaltrials.gov/study/NCT04572243,NO,ALL,"CHILD, ADULT, OLDER_ADULT",PHASE3,"Epilepsies, Myoclonic",,,,,DRUG: Placebo,DRUG: Lorcaserin,,,,"Children's of Alabama / University of Alabama at Birmingham, Birmingham, Alabama, 35226, United States","University of California Los Angeles (UCLA), Los Angeles, California, 90095, United States","UCSD Rady's Children's Hosptial, San Diego, California, 92123, United States",,,,,
Epilepsy,NCT06143241,Cognitive Function and Glymphatic System in Children With Epilepsy,https://clinicaltrials.gov/study/NCT06143241,NO,ALL,CHILD,,Epilepsy,Cognitive Dysfunction,"Seizure, Epileptic",,,DEVICE: Threshold IMT,DRUG: Antiepileptic medication,,,,"Ege University, Izmir, Bornova, 35080, Turkey",,,,,,,
