start_id,end_id,relationship_type,direction
DOID:12306,116449,associates,both
DOID:12306,847,associates,both
DOID:12306,D006311,presents,both
DOID:12306,3002,associates,both
DOID:12306,D004421,presents,both
DOID:12306,D016553,presents,both
DOID:12306,60314,associates,both
DOID:12306,D046088,presents,both
DOID:12306,UBERON:0001702,localizes,both
DOID:12306,122769,associates,both
DOID:12306,D006316,presents,both
DOID:12306,1638,associates,both
DOID:12306,UBERON:0001711,localizes,both
DOID:12306,D004314,presents,both
DOID:12306,D011537,presents,both
DOID:12306,10766,associates,both
DOID:12306,2315,associates,both
DOID:12306,60468,associates,both
DOID:12306,7306,associates,both
DOID:12306,D019588,presents,both
DOID:12306,UBERON:0001037,localizes,both
DOID:12306,UBERON:0002073,localizes,both
DOID:12306,UBERON:0001003,localizes,both
DOID:12306,UBERON:0002067,localizes,both
DOID:12306,10019,associates,both
DOID:12306,4026,associates,both
DOID:12306,53347,associates,both
DOID:12306,8635,associates,both
DOID:12306,114904,associates,both
DOID:986,DOID:12306,resembles,both
DOID:3310,DOID:12306,resembles,both
DOID:1909,DOID:12306,resembles,both
DOID:1459,DOID:12306,resembles,both
